"year","males-0","males-1","males-2","males-3","males-4","males-5","males-6","males-7","males-8","males-9","males-10","males-11","males-12","males-13","males-14","males-15","males-16","males-17","males-18","males-19","males-20","males-21","males-22","males-23","males-24","males-25","males-26","males-27","males-28","males-29","males-30","males-31","males-32","males-33","males-34","males-35","males-36","males-37","males-38","males-39","males-40","males-41","males-42","males-43","males-44","males-45","males-46","males-47","males-48","males-49","males-50","males-51","males-52","males-53","males-54","males-55","males-56","males-57","males-58","males-59","males-60","males-61","males-62","males-63","males-64","males-65","males-66","males-67","males-68","males-69","males-70","males-71","males-72","males-73","males-74","males-75","males-76","males-77","males-78","males-79","males-80","males-81","males-82","males-83","males-84","males-85","males-86","males-87","males-88","males-89","males-90","males-91","males-92","males-93","males-94","males-95","males-96","males-97","males-98","males-99","males-100","females-0","females-1","females-2","females-3","females-4","females-5","females-6","females-7","females-8","females-9","females-10","females-11","females-12","females-13","females-14","females-15","females-16","females-17","females-18","females-19","females-20","females-21","females-22","females-23","females-24","females-25","females-26","females-27","females-28","females-29","females-30","females-31","females-32","females-33","females-34","females-35","females-36","females-37","females-38","females-39","females-40","females-41","females-42","females-43","females-44","females-45","females-46","females-47","females-48","females-49","females-50","females-51","females-52","females-53","females-54","females-55","females-56","females-57","females-58","females-59","females-60","females-61","females-62","females-63","females-64","females-65","females-66","females-67","females-68","females-69","females-70","females-71","females-72","females-73","females-74","females-75","females-76","females-77","females-78","females-79","females-80","females-81","females-82","females-83","females-84","females-85","females-86","females-87","females-88","females-89","females-90","females-91","females-92","females-93","females-94","females-95","females-96","females-97","females-98","females-99","females-100","all-0","all-1","all-2","all-3","all-4","all-5","all-6","all-7","all-8","all-9","all-10","all-11","all-12","all-13","all-14","all-15","all-16","all-17","all-18","all-19","all-20","all-21","all-22","all-23","all-24","all-25","all-26","all-27","all-28","all-29","all-30","all-31","all-32","all-33","all-34","all-35","all-36","all-37","all-38","all-39","all-40","all-41","all-42","all-43","all-44","all-45","all-46","all-47","all-48","all-49","all-50","all-51","all-52","all-53","all-54","all-55","all-56","all-57","all-58","all-59","all-60","all-61","all-62","all-63","all-64","all-65","all-66","all-67","all-68","all-69","all-70","all-71","all-72","all-73","all-74","all-75","all-76","all-77","all-78","all-79","all-80","all-81","all-82","all-83","all-84","all-85","all-86","all-87","all-88","all-89","all-90","all-91","all-92","all-93","all-94","all-95","all-96","all-97","all-98","all-99","all-100"
1971,133347,127834,129131,124442,124187,121353,123746,129162,131406,133232,133471,129064,128933,125823,123483,121058,116144,113982,114473,112114,113285,114186,111514,116504,126058,106957,103903,100326,93146,93202,91010,86497,85309,82114,80892,82088,77135,74896,76740,77851,85447,80547,84525,85109,80348,86271,81709,80491,79517,79586,80887,69461,63131,62288,63505,61378,64159,62935,60684,57413,56113,50913,50163,47102,44879,44187,39973,37817,35139,32515,31548,29271,24229,21891,20106,18434,17190,15083,14396,12722,11529,10064,8660,7398,6168,4949,4155,3180,2338,1855,1418,962,649,508,345,245,173,100,76,47,57,128282,122109,124245,118721,117467,116184,117540,122331,124909,126573,126968,122578,123328,120203,117225,115086,112865,110514,111497,108563,109462,110559,108785,111141,119113,99384,98272,94069,86793,86342,83902,79071,80978,77338,76858,77241,73598,70209,72459,72643,80437,73521,78541,78765,76186,80034,79682,76461,77475,76618,79806,66987,64044,63440,63961,62822,64671,63135,61148,58151,61510,52458,53360,51234,48481,47704,43493,40795,39880,37528,41179,37594,32113,31065,29990,29395,27155,24456,23715,20991,20478,16787,15525,13674,11606,9609,8231,6498,5213,4232,3406,2489,1880,1351,979,706,469,284,218,162,146,261629,249943,253376,243163,241654,237537,241286,251493,256315,259805,260439,251642,252261,246026,240708,236144,229009,224496,225970,220677,222747,224745,220299,227645,245171,206341,202175,194395,179939,179544,174912,165568,166287,159452,157750,159329,150733,145105,149199,150494,165884,154068,163066,163874,156534,166305,161391,156952,156992,156204,160693,136448,127175,125728,127466,124200,128830,126070,121832,115564,117623,103371,103523,98336,93360,91891,83466,78612,75019,70043,72727,66865,56342,52956,50096,47829,44345,39539,38111,33713,32007,26851,24185,21072,17774,14558,12386,9678,7551,6087,4824,3451,2529,1859,1324,951,642,384,294,209,203
1972,136987,134232,128856,129786,125060,124526,122135,124299,130160,132175,133957,134449,129900,129380,125790,123204,121321,116726,114838,116131,114016,114775,115455,113052,117510,126923,107606,104177,100861,93779,93421,91455,87196,85475,82977,81725,82363,76683,75394,77042,77724,85141,81056,84015,85004,81046,86306,80888,80288,79279,78991,79780,69403,62467,61945,63058,60991,63052,62163,59546,56578,55086,50039,48861,46121,43732,42712,38521,36405,33582,30905,30088,27790,22605,20487,18557,16884,15550,13738,12927,11448,10273,8880,7470,6334,5157,4116,3343,2505,1792,1419,1068,695,474,349,249,179,113,73,48,60,131468,129195,123097,124648,119197,117916,116666,118022,123144,125313,127089,127591,123369,123732,120591,117466,115352,113664,111821,113270,110201,110503,111330,109454,112208,120000,100044,98217,95116,87412,86820,84421,80143,80939,78499,77398,77797,73100,70793,72446,72388,80089,74226,77907,78763,76422,80370,78652,76687,77192,76466,78600,67579,63544,63290,63685,63173,63969,63226,60868,58086,60664,52396,52349,50690,47679,47197,42787,40367,38980,36708,40102,36938,30967,29922,28590,28117,25530,23220,22172,19609,18903,15618,14033,12195,10171,8347,7010,5510,4334,3463,2751,1988,1476,1033,719,528,321,177,140,176,268455,263427,251953,254434,244257,242442,238801,242321,253304,257488,261046,262040,253269,253112,246381,240670,236673,230390,226659,229401,224217,225278,226785,222506,229718,246923,207650,202394,195977,181191,180241,175876,167339,166414,161476,159123,160160,149783,146187,149488,150112,165230,155282,161922,163767,157468,166676,159540,156975,156471,155457,158380,136982,126011,125235,126743,124164,127021,125389,120414,114664,115750,102435,101210,96811,91411,89909,81308,76772,72562,67613,70190,64728,53572,50409,47147,45001,41080,36958,35099,31057,29176,24498,21503,18529,15328,12463,10353,8015,6126,4882,3819,2683,1950,1382,968,707,434,250,188,236
1973,129492,137057,135564,129748,130315,125532,124651,122663,124605,130914,132626,134367,135221,130461,129451,125464,122725,121378,117546,115826,117474,115478,115775,116168,114013,118001,127699,108179,104198,101185,94134,93354,91493,87499,85400,83576,82341,82499,76088,75607,77075,77346,84644,81294,83298,84747,81568,86209,79897,79958,78886,78304,78538,69179,61698,61526,62485,60462,61802,61306,58330,55710,53906,49046,47400,44948,42597,41180,36959,34878,32004,29372,28442,26227,20927,18981,17007,15465,13935,12328,11493,10158,9038,7674,6342,5339,4261,3385,2687,1997,1391,1075,802,520,342,231,168,139,66,45,64,123793,131654,130409,124024,124899,119421,118083,117036,118300,123712,125510,127434,127999,123909,123910,120765,117542,115586,114561,113093,114474,111168,111421,112122,110178,113338,120796,100480,97909,95910,87789,87063,84668,80992,80743,79471,77748,78130,72416,71198,72218,71956,79621,74779,77196,78670,76551,80576,77569,76717,76869,76292,77372,68092,63007,63088,63332,63460,63232,63236,60572,57990,59783,52285,51352,50146,46855,46647,42013,39871,38003,35816,38905,36130,29752,28701,27134,26834,23887,21859,20629,18292,17300,14349,12535,10682,8787,7212,5939,4559,3513,2821,2197,1552,1111,769,528,399,215,117,162,253285,268711,265973,253772,255214,244953,242734,239699,242905,254626,258136,261801,263220,254370,253361,246229,240267,236964,232107,228919,231948,226646,227196,228290,224191,231339,248495,208659,202107,197095,181923,180417,176161,168491,166143,163047,160089,160629,148504,146805,149293,149302,164265,156073,160494,163417,158119,166785,157466,156675,155755,154596,155910,137271,124705,124614,125817,123922,125034,124542,118902,113700,113689,101331,98752,95094,89452,87827,78972,74749,70007,65188,67347,62357,50679,47682,44141,42299,37822,34187,32122,28450,26338,22023,18877,16021,13048,10597,8626,6556,4904,3896,2999,2072,1453,1000,696,538,281,162,226
1974,124803,130161,138038,137320,131039,131121,126272,125072,123557,125151,131836,133349,134982,136119,131033,129614,125265,122322,121828,118762,116797,118841,117106,117069,117132,115180,118932,128940,109298,104731,101891,94753,93587,91906,88158,85529,84426,83276,82813,75608,76075,77307,77022,84217,81668,82724,84472,82044,86135,78937,79616,78491,77606,77235,69039,60990,61164,61946,59934,60513,60385,57081,54799,52624,47980,45944,43876,41324,39556,35366,33373,30478,27699,26806,24758,19360,17585,15549,14032,12361,10994,10180,8958,7869,6676,5407,4483,3445,2711,2096,1535,1078,826,579,373,267,169,119,109,39,67,117770,124906,132726,132101,125360,125471,119908,118471,117604,118787,124523,125876,127890,128500,124514,124070,120928,117749,116225,115908,114608,115881,112654,113049,113552,111642,114976,122005,101321,97854,96915,88443,87512,85192,82075,80635,80570,78274,78703,71883,71715,72103,71569,79182,75458,76578,78635,76750,80926,76551,76784,76524,76157,76133,68687,62547,62901,62943,63738,62494,63271,60301,57801,58836,52177,50324,49506,45941,45977,41111,39334,37009,34892,37667,35309,28532,27465,25724,25547,22137,20494,19138,16932,15683,13150,11120,9286,7544,6218,4920,3751,2907,2282,1727,1167,824,562,381,298,136,116,242573,255067,270764,269421,256399,256592,246180,243543,241161,243938,256359,259225,262872,264619,255547,253684,246193,240071,238053,234670,231405,234722,229760,230118,230684,226822,233908,250945,210619,202585,198806,183196,181099,177098,170233,166164,164996,161550,161516,147491,147790,149410,148591,163399,157126,159302,163107,158794,167061,155488,156400,155015,153763,153368,137726,123537,124065,124889,123672,123007,123656,117382,112600,111460,100157,96268,93382,87265,85533,76477,72707,67487,62591,64473,60067,47892,45050,41273,39579,34498,31488,29318,25890,23552,19826,16527,13769,10989,8929,7016,5286,3985,3108,2306,1540,1091,731,500,407,175,183
1975,120678,125807,130706,138640,138725,131976,131651,126756,125225,124136,125504,132542,133798,135430,136820,131456,129595,124758,121737,121916,119156,116171,118684,117436,116976,117010,115889,119488,129689,109707,104577,102023,94892,93381,91971,88325,85258,84841,83767,82797,74965,76279,77267,76519,83576,81764,81876,83977,82372,85795,77784,79216,77948,76646,75811,68741,60078,60527,61188,59233,59049,59372,55659,53730,51220,46793,44428,42654,39882,37813,33703,31846,28779,25950,25108,23213,17678,16153,14092,12624,10859,9783,8872,7783,6756,5676,4442,3628,2708,2142,1569,1148,803,602,410,261,188,110,92,97,50,114903,118596,125849,133384,133308,126258,125601,120080,118596,117893,118920,125035,126035,128024,128748,124961,124140,120997,117736,116414,116432,115034,116704,113964,114295,114611,112533,116167,122750,101678,97560,97608,88791,87699,85439,82955,80429,81479,78583,79044,71158,72049,71900,71047,78594,75981,75837,78518,76835,81126,75365,76769,76023,75828,74833,69108,61917,62622,62464,63846,61585,63190,59893,57528,57692,51867,49124,48768,44891,45134,40093,38710,35896,33779,36246,34325,27171,26115,24198,24141,20257,19094,17606,15499,14019,11897,9716,7954,6322,5221,4001,3004,2280,1761,1322,872,598,390,278,252,72,235581,244403,256555,272024,272033,258234,257252,246836,243821,242029,244424,257577,259833,263454,265568,256417,253735,245755,239473,238330,235588,231205,235388,231400,231271,231621,228422,235655,252439,211385,202137,199631,183683,181080,177410,171280,165687,166320,162350,161841,146123,148328,149167,147566,162170,157745,157713,162495,159207,166921,153149,155985,153971,152474,150644,137849,121995,123149,123652,123079,120634,122562,115552,111258,108912,98660,93552,91422,84773,82947,73796,70556,64675,59729,61354,57538,44849,42268,38290,36765,31116,28877,26478,23282,20775,17573,14158,11582,9030,7363,5570,4152,3083,2363,1732,1133,786,500,370,349,122
1976,115457,119694,126940,131186,139021,139696,132502,131837,126865,125096,124377,125407,132985,133976,135543,137251,131532,129373,124321,121222,121847,118997,115520,118657,117763,116885,116847,116254,119542,130022,109771,103957,101708,94583,92773,91570,88322,84678,85041,84006,82599,74038,76240,77005,75862,82850,81779,80854,83357,82472,85381,76575,78629,77244,75671,74247,68315,59110,59819,60365,58432,57576,58340,54234,52559,49732,45655,42977,41389,38454,35969,31997,30280,27111,24223,23474,21724,16122,14766,12686,11341,9545,8706,7682,6711,5719,4847,3665,2966,2116,1684,1168,852,603,436,299,206,136,75,60,81,110899,114461,119633,126686,133914,134351,126910,125504,119890,118438,117839,118876,125270,125865,127977,128816,125199,124091,121166,117806,116370,116614,115398,117234,114958,115343,115337,113069,116892,123097,101582,96963,97881,88659,87510,85357,83465,79833,82159,78783,79152,70297,72262,71510,70373,77827,76357,74970,78240,76799,81209,74069,76709,75538,75419,73402,69450,61295,62246,61919,63933,60751,63151,59478,57228,56535,51637,47937,47987,43834,44336,39151,38036,34693,32650,34810,33305,25885,24797,22728,22793,18605,17757,16084,14124,12453,10749,8444,6830,5297,4322,3212,2410,1819,1389,1014,657,416,258,204,212,226356,234155,246573,257872,272935,274047,259412,257341,246755,243534,242216,244283,258255,259841,263520,266067,256731,253464,245487,239028,238217,235611,230918,235891,232721,232228,232184,229323,236434,253119,211353,200920,199589,183242,180283,176927,171787,164511,167200,162789,161751,144335,148502,148515,146235,160677,158136,155824,161597,159271,166590,150644,155338,152782,151090,147649,137765,120405,122065,122284,122365,118327,121491,113712,109787,106267,97292,90914,89376,82288,80305,71148,68316,61804,56873,58284,55029,42007,39563,35414,34134,28150,26463,23766,20835,18172,15596,12109,9796,7413,6006,4380,3262,2422,1825,1313,863,552,333,264,293
1977,115298,115936,120387,127286,131450,139433,140486,132940,132360,127239,125723,124857,126143,132969,134162,135343,136696,131533,129525,125685,122703,122858,119838,116729,119461,118404,118433,117887,117083,120156,129825,109495,104380,101578,94139,92857,91647,87778,84960,84428,82995,81869,74064,75735,76460,75750,82582,80885,80629,82737,81478,83861,76487,77620,76243,74755,73252,66946,58210,58450,59046,57503,56772,56981,52888,51023,48194,44131,41484,39483,36592,34228,30431,28336,25242,22525,21599,19806,14666,13214,11346,10083,8468,7519,6528,5682,4743,3946,2989,2344,1634,1323,906,626,424,306,212,148,92,49,92,109539,111373,115187,120196,126966,134285,135103,127276,126316,120637,119204,118595,119875,125757,126667,128538,129182,125796,124795,122428,118894,117490,117201,116219,117820,115727,116873,115832,114227,117246,123604,102181,98327,97996,88765,87800,86001,82975,80478,81411,78116,78487,70514,71721,71379,70459,78078,75673,75147,77854,76418,80156,74358,75896,75065,74910,73756,68590,61119,61697,61595,63180,60593,62217,58603,56401,55899,50778,47429,46815,42725,42915,38268,36476,33290,31315,33193,31413,24497,23247,21275,21017,17287,16128,14431,12557,10912,9221,7201,5729,4410,3533,2592,1879,1386,1041,744,470,287,164,244,224837,227309,235574,247482,258416,273718,275589,260216,258676,247876,244927,243452,246018,258726,260829,263881,265878,257329,254320,248113,241597,240348,237039,232948,237281,234131,235306,233719,231310,237402,253429,211676,202707,199574,182904,180657,177648,170753,165438,165839,161111,160356,144578,147456,147839,146209,160660,156558,155776,160591,157896,164017,150845,153516,151308,149665,147008,135536,119329,120147,120641,120683,117365,119198,111491,107424,104093,94909,88913,86298,79317,77143,68699,64812,58532,53840,54792,51219,39163,36461,32621,31100,25755,23647,20959,18239,15655,13167,10190,8073,6044,4856,3498,2505,1810,1347,956,618,379,213,336
1978,115249,115587,116767,121212,127671,131820,139894,141359,133356,132984,127565,126275,125292,126776,132926,134297,135068,136085,131859,129797,126798,123661,123774,120612,118027,120290,119250,120118,118855,117895,120769,129648,109268,104777,101537,93897,92949,91842,87213,85255,83876,82149,81182,74231,75263,75799,75589,82220,79949,80404,82044,80492,82421,76431,76594,75210,73801,72305,65680,57258,57120,57850,56569,55849,55642,51532,49576,46747,42660,39969,37611,34746,32531,28863,26406,23489,20919,19808,17965,13307,11815,10147,8916,7446,6470,5540,4811,3935,3222,2424,1876,1302,1030,684,441,304,216,143,102,62,76,109350,109991,112098,115902,120745,127194,134657,135991,127693,127125,121354,119977,119339,120756,126162,127412,129188,129524,126734,125816,123525,120043,118591,118084,117000,118665,116708,118477,116372,115144,117542,124085,102772,99621,97956,88880,88212,86632,82338,81162,80782,77485,77751,70763,71091,71167,70537,78328,75070,75398,77405,75981,79142,74733,75160,74589,74460,74224,67832,60953,61209,61313,62437,60427,61187,57738,55650,55281,49912,46915,45693,41730,41471,37302,34936,31861,29968,31592,29509,23071,21780,19941,19362,16020,14517,12838,11107,9508,7879,6147,4777,3658,2851,2067,1464,1058,791,568,332,206,221,224599,225578,228865,237114,248416,259014,274551,277350,261049,260109,248919,246252,244631,247532,259088,261709,264256,265609,258593,255613,250323,243704,242365,238696,235027,238955,235958,238595,235227,233039,238311,253733,212040,204398,199493,182777,181161,178474,169551,166417,164658,159634,158933,144994,146354,146966,146126,160548,155019,155802,159449,156473,161563,151164,151754,149799,148261,146529,133512,118211,118329,119163,119006,116276,116829,109270,105226,102028,92572,86884,83304,76476,74002,66165,61342,55350,50887,51400,47474,36378,33595,30088,28278,23466,20987,18378,15918,13443,11101,8571,6653,4960,3881,2751,1905,1362,1007,711,434,268,297
1979,113443,115402,116016,117652,121941,128090,132035,140035,141949,133684,133491,127886,126781,125642,127374,132834,134434,134883,135872,132485,130443,127909,124615,124760,121565,119372,121212,119966,121738,119547,118322,121245,129364,108803,105088,101368,93335,92936,92015,86696,85422,83176,81172,80410,74303,74754,75187,75412,81854,79038,80186,81358,79415,80855,76300,75570,74176,72728,71217,64244,56246,55734,56590,55507,54906,54272,50134,48090,45198,41022,38369,35798,32885,30734,27223,24430,21714,19324,18124,16143,11965,10494,8999,7794,6514,5523,4640,3987,3202,2552,1947,1459,997,803,515,324,214,155,92,74,64,108325,109614,110485,112708,116486,121169,127182,134778,136643,127968,127795,121931,120559,119895,121476,126402,128173,129849,130433,128194,126779,124319,121026,119764,118822,117945,119559,117428,119809,116721,115968,117574,124217,103175,100659,97767,88842,88406,87178,81644,81648,80004,76769,77046,71027,70547,70906,70567,78512,74368,75574,76923,75529,77987,75001,74317,74101,73943,74571,66964,60736,60635,60930,61570,60171,60152,56817,54783,54555,48918,46297,44532,40641,40019,36254,33297,30439,28624,30042,27590,21636,20326,18524,17633,14719,12922,11333,9711,8244,6629,5105,3923,2956,2268,1656,1126,808,597,415,236,227,221768,225016,226501,230360,238427,249259,259217,274813,278592,261652,261286,249817,247340,245537,248850,259236,262607,264732,266305,260679,257222,252228,245641,244524,240387,237317,240771,237394,241547,236268,234290,238819,253581,211978,205747,199135,182177,181342,179193,168340,167070,163180,157941,157456,145330,145301,146093,145979,160366,153406,155760,158281,154944,158842,151301,149887,148277,146671,145788,131208,116982,116369,117520,117077,115077,114424,106951,102873,99753,89940,84666,80330,73526,70753,63477,57727,52153,47948,48166,43733,33601,30820,27523,25427,21233,18445,15973,13698,11446,9181,7052,5382,3953,3071,2171,1450,1022,752,507,310,291
1980,114488,113943,116036,116677,118752,122871,128596,132467,140508,142798,134242,134227,128391,127439,126166,128084,132827,134736,134991,135887,133031,130645,128728,125753,125887,122475,120889,122382,121216,123591,120706,119191,121900,129291,108747,105624,101352,93018,93112,92220,86255,85820,82602,80257,79727,74430,74211,74606,75336,81525,78139,80019,80700,78331,79317,76188,74601,73170,71691,70212,62822,55278,54353,55304,54531,54014,52903,48696,46547,43619,39428,36855,33902,30992,28933,25656,22550,19997,17724,16443,14486,10779,9237,7930,6773,5670,4727,3922,3331,2607,1974,1533,1133,747,591,383,245,166,113,61,84,108080,108953,110410,111287,113563,117342,121831,127487,135199,137486,128472,128655,122711,121311,120606,122435,126952,129148,130984,131513,129322,127473,125117,122078,121114,119985,119004,120606,118416,121345,117184,117114,117961,124654,103737,101926,97767,88922,88753,87837,81089,82253,79300,76142,76391,71300,69995,70727,70631,78767,73734,75787,76467,75109,76933,75363,73528,73666,73456,74969,66198,60586,60138,60655,60846,59940,59189,55916,53924,53865,47925,45682,43328,39475,38555,35251,31718,29073,27238,28387,25680,20219,18789,17077,15891,13477,11479,9906,8464,7096,5516,4277,3222,2384,1803,1325,854,597,427,298,279,222568,222896,226446,227964,232315,240213,250427,259954,275707,280284,262714,262882,251102,248750,246772,250519,259779,263884,265975,267400,262353,258118,253845,247831,247001,242460,239893,242988,239632,244936,237890,236305,239861,253945,212484,207550,199119,181940,181865,180057,167344,168073,161902,156399,156118,145730,144206,145333,145967,160292,151873,155806,157167,153440,156250,151551,148129,146836,145147,145181,129020,115864,114491,115959,115377,113954,112092,104612,100471,97484,87353,82537,77230,70467,67488,60907,54268,49070,44962,44830,40166,30998,28026,25007,22664,19147,16206,13828,11795,9703,7490,5810,4355,3131,2394,1708,1099,763,540,359,363
