"year","male15_29_low","male15_29_high","female15_29_low","female15_29_high"
2001,59652,62274,54936,57370
2002,71751,74027,65316,67015
2003,84275,87272,75073,77351
2004,98205,101803,84407,86834
2005,108742,112373,89861,92853
2006,119723,122661,93731,96781
2007,130513,133641,97042,99811
2008,140015,144385,100449,103448
2009,152033,157020,107753,111146
2010,162569,167849,112136,116092
2011,164456,169902,112108,116226
2012,162100,166949,109930,112955
2013,158364,162799,106856,109994
2014,153666,157891,104481,107801
2015,152255,157078,102368,105058
2016,158379,163753,103120,106101
2017,164735,169522,105646,108299
2018,161737,166777,104678,107554
2019,153115,159370,101206,104341
2020,133756,141997,92182,96853
